Task name,Status,Assignee,Due,Priority,Tags
Create social media plan,Not Started,Nate Martins,"May 2, 2023",Medium,"Improvement, Marketing"
Create performance marketing plan,Not Started,Nate Martins,"May 2, 2023",Medium,"Improvement, Marketing"
Develop advertising plan,Done,Nate Martins,"April 13, 2024",Medium,"Improvement, Marketing"
Develop new creative assets,Done,Sohrab Amin,"April 15, 2024",High,"Branding, Improvement, Marketing"
Define target audience,Done,Sohrab Amin,"April 17, 2024",Low,"Improvement, Marketing"
Develop survey questions,Done,Sohrab Amin,"April 21, 2024",Medium,Research
Create product demo video,Done,Nate Martins,"April 29, 2024",High,Video production
Create product positioning,Done,Sohrab Amin,"May 1, 2024",High,Branding
Report on marketing ROI,In Progress,Ben Lang,"May 5, 2024",Medium,"Improvement, Marketing"
Monitor launch performance,In Progress,Ben Lang,"May 9, 2024",High,Metrics
Conduct website audit,Not Started,Sohrab Amin,"May 10, 2024",Medium,Website
Conduct interviews,In Progress,Sohrab Amin,"May 12, 2024",High,Research
Write website copy,Not Started,Nate Martins,"May 13, 2024",Medium,Website
Develop creative assets,Not Started,Nate Martins,"May 13, 2024",Medium,"Branding, Website"
Interpret findings,In Progress,Nate Martins,"May 19, 2024",Medium,Research
Write research report,Not Started,Ben Lang,"May 22, 2024",High,Research
Test website functionality,Not Started,Ben Lang,"May 26, 2024",Medium,Website