Name,Status,Due Date,To Deadline,Recurring,Priority,Next Due Date
Repair a car,Inbox,,,➡ Single Task,Medium,
Organize activities,To-Do,"November 3, 2025",❗ Overdue by 6 days,🗓️ Daily,Medium,"November 10, 2025"
Create finance tracker,To-Do,"November 3, 2025",❗ Overdue by 6 days,➡ Single Task,High,
Review expenses weekly,To-Do,"November 4, 2025",❗ Overdue by 5 days,📅 Weekly,High,"November 11, 2025"
Review expenses weekly,To-Do,"November 5, 2025",❗ Overdue by 4 days,📅 Weekly,High,"November 12, 2025"
Join book club,To-Do,"November 6, 2025",❗ Overdue by 3 days,➡ Single Task,Low,
Pick up package,Doing,"November 9, 2025",📌 Do Today,➡ Single Task,Medium,
Review expenses weekly,Done,"April 18, 2025",✅ Completed,📅 Weekly,High,"November 14, 2025"
Organize activities,Done,"April 20, 2025",✅ Completed,🗓️ Daily,Medium,"November 10, 2025"
Review expenses weekly,Done,"April 26, 2025",✅ Completed,📅 Weekly,High,"November 15, 2025"
Start testing Notion AI for 30 days,Done,"July 22, 2025",✅ Completed,🗓️ Daily,High,"November 11, 2025"
Testing Notion AI for 30 days,Done,"August 12, 2025",✅ Completed,🗓️ Daily,High,"November 10, 2025"
Organize activities,Done,"August 13, 2025",✅ Completed,🗓️ Daily,Medium,"November 10, 2025"
Review expenses weekly,Done,"August 15, 2025",✅ Completed,📅 Weekly,High,"November 14, 2025"
Pick up truck,Done,"August 20, 2025",✅ Completed,➡ Single Task,High,
Organize activities,Done,"September 5, 2025",✅ Completed,🗓️ Daily,Medium,"November 10, 2025"
Testing Notion AI for 30 days,Done,"September 27, 2025",✅ Completed,🗓️ Daily,High,"November 10, 2025"