Name,Status,Due Date,Tag,Recurring,Priority
Testing Notion AI for 30 days,Done,"September 27, 2025",Project,🗓️ Daily,High
Review expenses weekly,To-Do,"November 4, 2025",Finance,📅 Weekly,High
Organize activities,Done,"August 13, 2025",,🗓️ Daily,Medium
Organize activities,To-Do,"November 3, 2025",Work,🗓️ Daily,Medium
Review expenses weekly,Done,"August 15, 2025",,📅 Weekly,High
Start testing Notion AI for 30 days,Done,"July 22, 2025",,🗓️ Daily,High
Testing Notion AI for 30 days,Done,"August 12, 2025",,🗓️ Daily,High
Repair a car,Inbox,,,➡ Single Task,Medium
Pick up truck,Done,"August 20, 2025",,➡ Single Task,High
Review expenses weekly,Done,"April 26, 2025",,📅 Weekly,High
Pick up package,Doing,"November 9, 2025",Personal,➡ Single Task,Medium
Review expenses weekly,To-Do,"November 5, 2025",Finance,📅 Weekly,High
Organize activities,Done,"September 5, 2025",Work,🗓️ Daily,Medium
Organize activities,Done,"April 20, 2025",,🗓️ Daily,Medium
Create finance tracker,To-Do,"November 3, 2025",Finance,➡ Single Task,High
Review expenses weekly,Done,"April 18, 2025",,📅 Weekly,High
Join book club,To-Do,"November 6, 2025",Events,➡ Single Task,Low